t (ms);signal
0.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000056e-01;0.000000000000000000e+00
2.000000000000000111e-01;0.000000000000000000e+00
3.000000000000000444e-01;0.000000000000000000e+00
4.000000000000000222e-01;0.000000000000000000e+00
5.000000000000000000e-01;0.000000000000000000e+00
6.000000000000000888e-01;-1.000000000000000000e+00
7.000000000000000666e-01;1.000000000000000000e+00
8.000000000000000444e-01;-2.000000000000000000e+00
9.000000000000000222e-01;2.000000000000000000e+00
1.000000000000000000e+00;-2.000000000000000000e+00
1.100000000000000089e+00;4.000000000000000000e+00
1.200000000000000178e+00;-5.000000000000000000e+00
1.300000000000000044e+00;7.000000000000000000e+00
1.400000000000000133e+00;-1.000000000000000000e+01
1.500000000000000000e+00;1.000000000000000000e+01
1.600000000000000089e+00;-1.400000000000000000e+01
1.700000000000000178e+00;1.600000000000000000e+01
1.800000000000000044e+00;-2.100000000000000000e+01
1.900000000000000133e+00;2.600000000000000000e+01
2.000000000000000000e+00;-3.100000000000000000e+01
2.100000000000000089e+00;3.600000000000000000e+01
2.200000000000000178e+00;-4.300000000000000000e+01
2.300000000000000266e+00;5.000000000000000000e+01
2.400000000000000355e+00;-6.100000000000000000e+01
2.500000000000000000e+00;7.100000000000000000e+01
2.600000000000000089e+00;-8.300000000000000000e+01
2.700000000000000178e+00;9.600000000000000000e+01
2.800000000000000266e+00;-1.100000000000000000e+02
2.900000000000000355e+00;1.270000000000000000e+02
3.000000000000000000e+00;-1.470000000000000000e+02
3.100000000000000089e+00;1.680000000000000000e+02
3.200000000000000178e+00;-1.910000000000000000e+02
3.300000000000000266e+00;2.160000000000000000e+02
3.400000000000000355e+00;-2.440000000000000000e+02
3.500000000000000000e+00;2.770000000000000000e+02
3.600000000000000089e+00;-3.100000000000000000e+02
3.700000000000000178e+00;3.500000000000000000e+02
3.800000000000000266e+00;-3.910000000000000000e+02
3.900000000000000355e+00;4.360000000000000000e+02
4.000000000000000000e+00;-4.860000000000000000e+02
4.100000000000000533e+00;5.410000000000000000e+02
4.200000000000000178e+00;-6.020000000000000000e+02
4.299999999999999822e+00;6.680000000000000000e+02
4.400000000000000355e+00;-7.390000000000000000e+02
4.500000000000000000e+00;8.170000000000000000e+02
4.600000000000000533e+00;-9.020000000000000000e+02
4.700000000000000178e+00;9.960000000000000000e+02
4.800000000000000711e+00;-1.100000000000000000e+03
4.900000000000000355e+00;1.213000000000000000e+03
5.000000000000000000e+00;-1.336000000000000000e+03
5.100000000000000533e+00;1.473000000000000000e+03
5.200000000000000178e+00;-1.624000000000000000e+03
5.300000000000000711e+00;1.794000000000000000e+03
5.400000000000000355e+00;-1.984000000000000000e+03
5.500000000000000000e+00;2.196000000000000000e+03
5.600000000000000533e+00;-2.438000000000000000e+03
5.700000000000000178e+00;2.713000000000000000e+03
5.800000000000000711e+00;-3.035000000000000000e+03
5.900000000000000355e+00;3.413000000000000000e+03
6.000000000000000000e+00;-3.863000000000000000e+03
6.100000000000000533e+00;4.412000000000000000e+03
6.200000000000000178e+00;-5.097000000000000000e+03
6.300000000000000711e+00;5.979000000000000000e+03
6.400000000000000355e+00;-7.166000000000000000e+03
6.500000000000000000e+00;8.849000000000000000e+03
6.600000000000000533e+00;-1.143900000000000000e+04
6.700000000000000178e+00;1.609700000000000000e+04
6.800000000000000711e+00;-6.645400000000000000e+04
6.900000000000000355e+00;2.511080000000000000e+05
7.000000000000000000e+00;1.088200000000000000e+04
7.100000000000000533e+00;1.823300000000000000e+04
7.200000000000000178e+00;4.171970000000000000e+05
7.300000000000000711e+00;-1.426310000000000000e+05
7.400000000000000355e+00;-2.669790000000000000e+05
7.500000000000000000e+00;1.712640000000000000e+05
7.600000000000000533e+00;-1.057680000000000000e+05
7.700000000000000178e+00;-4.819700000000000000e+04
7.800000000000000711e+00;5.636830000000000000e+05
7.900000000000000355e+00;2.439120000000000000e+05
8.000000000000000000e+00;4.549100000000000000e+04
8.099999999999999645e+00;3.819810000000000000e+05
8.200000000000001066e+00;-5.415100000000000000e+04
8.300000000000000711e+00;-2.813850000000000000e+05
8.400000000000000355e+00;2.642330000000000000e+05
8.500000000000000000e+00;1.074220000000000000e+05
8.599999999999999645e+00;1.592000000000000000e+03
8.700000000000001066e+00;5.075580000000000000e+05
8.800000000000000711e+00;1.973250000000000000e+05
8.900000000000000355e+00;-2.139240000000000000e+05
9.000000000000000000e+00;1.155350000000000000e+05
9.099999999999999645e+00;-1.498210000000000000e+05
9.200000000000001066e+00;-4.092770000000000000e+05
9.300000000000000711e+00;1.589710000000000000e+05
9.400000000000000355e+00;1.218470000000000000e+05
9.500000000000000000e+00;-1.651840000000000000e+05
9.600000000000001421e+00;2.252330000000000000e+05
9.700000000000001066e+00;-1.187600000000000000e+04
9.800000000000000711e+00;-5.016290000000000000e+05
9.900000000000000355e+00;-1.394410000000000000e+05
1.000000000000000000e+01;-1.603060000000000000e+05
1.010000000000000142e+01;-4.223400000000000000e+05
1.020000000000000107e+01;1.201060000000000000e+05
1.030000000000000071e+01;1.818090000000000000e+05
1.040000000000000036e+01;-2.377930000000000000e+05
1.050000000000000000e+01;4.774700000000000000e+04
1.060000000000000142e+01;-3.267100000000000000e+04
1.070000000000000107e+01;-5.024800000000000000e+05
1.080000000000000071e+01;-1.018190000000000000e+05
1.090000000000000036e+01;9.935400000000000000e+04
1.100000000000000000e+01;-1.792810000000000000e+05
1.110000000000000142e+01;2.438130000000000000e+05
1.120000000000000107e+01;3.626780000000000000e+05
1.130000000000000071e+01;-1.533690000000000000e+05
1.140000000000000036e+01;3.235700000000000000e+04
1.150000000000000000e+01;1.247570000000000000e+05
1.160000000000000142e+01;-2.869240000000000000e+05
1.170000000000000107e+01;7.724900000000000000e+04
1.180000000000000071e+01;4.013550000000000000e+05
1.190000000000000036e+01;5.239200000000000000e+04
1.200000000000000000e+01;2.694150000000000000e+05
1.210000000000000142e+01;4.056980000000000000e+05
1.220000000000000107e+01;-1.485610000000000000e+05
1.230000000000000071e+01;-5.819800000000000000e+04
1.240000000000000036e+01;1.878900000000000000e+05
1.250000000000000000e+01;-1.623480000000000000e+05
1.260000000000000142e+01;8.041500000000000000e+04
1.270000000000000107e+01;4.311830000000000000e+05
1.280000000000000071e+01;1.422500000000000000e+04
1.290000000000000036e+01;2.116100000000000000e+04
1.300000000000000000e+01;1.952230000000000000e+05
1.310000000000000142e+01;-2.951510000000000000e+05
1.320000000000000107e+01;-2.643900000000000000e+05
1.330000000000000071e+01;1.095240000000000000e+05
1.340000000000000036e+01;-1.632640000000000000e+05
1.350000000000000000e+01;-7.159400000000000000e+04
1.360000000000000142e+01;2.699220000000000000e+05
1.370000000000000107e+01;-1.383170000000000000e+05
1.380000000000000071e+01;-2.642630000000000000e+05
1.390000000000000036e+01;-5.198000000000000000e+03
1.400000000000000000e+01;-3.357490000000000000e+05
1.410000000000000142e+01;-3.328920000000000000e+05
1.420000000000000107e+01;1.221920000000000000e+05
1.430000000000000071e+01;-6.512200000000000000e+04
1.440000000000000036e+01;-1.176670000000000000e+05
1.450000000000000000e+01;2.026110000000000000e+05
1.460000000000000142e+01;-1.213830000000000000e+05
1.470000000000000107e+01;-3.070810000000000000e+05
1.480000000000000071e+01;3.586100000000000000e+04
1.490000000000000036e+01;-1.185680000000000000e+05
1.500000000000000000e+01;-1.617370000000000000e+05
1.510000000000000142e+01;2.866070000000000000e+05
1.520000000000000107e+01;1.550820000000000000e+05
1.530000000000000071e+01;-3.835400000000000000e+04
1.540000000000000036e+01;2.352270000000000000e+05
1.550000000000000000e+01;2.142800000000000000e+04
1.560000000000000142e+01;-1.987830000000000000e+05
1.570000000000000107e+01;1.687750000000000000e+05
1.580000000000000071e+01;1.371690000000000000e+05
1.590000000000000036e+01;1.488000000000000000e+03
1.600000000000000000e+01;3.526800000000000000e+05
1.610000000000000142e+01;2.442400000000000000e+05
