Date,TWh
1991/09, 26.1
1991/10, 29.9
1991/11, 34.7
1991/12, 38.3
1992/01, 40.1
1992/02, 37.1
1992/03, 34.5
1992/04, 31.6
1992/05, 29.0
1992/06, 27.2
1992/07, 27.5
1992/08, 25.8
1992/09, 26.9
1992/10, 31.8
1992/11, 33.5
1992/12, 36.7
1993/01, 37.1
1993/02, 36.1
1993/03, 35.3
1993/04, 32.0
1993/05, 29.6
1993/06, 27.4
1993/07, 27.9
1993/08, 26.3
1993/09, 27.3
1993/10, 31.7
1993/11, 36.2
1993/12, 37.7
1994/01, 38.6
1994/02, 35.6
1994/03, 33.6
1994/04, 33.1
1994/05, 28.8
1994/06, 28.9
1994/07, 29.1
1994/08, 27.8
1994/09, 29.4
1994/10, 31.5
1994/11, 33.3
1994/12, 37.7
1995/01, 40.4
1995/02, 36.3
1995/03, 36.3
1995/04, 33.0
1995/05, 30.6
1995/06, 29.9
1995/07, 29.8
1995/08, 28.6
1995/09, 29.8
1995/10, 32.4
1995/11, 35.5
1995/12, 38.4
1996/01, 40.3
1996/02, 39.8
1996/03, 38.1
1996/04, 34.9
1996/05, 32.5
1996/06, 30.3
1996/07, 28.7
1996/08, 27.9
1996/09, 30.5
1996/10, 30.8
1996/11, 36.8
1996/12, 40.5
1997/01, 43.3
1997/02, 37.8
1997/03, 33.7
1997/04, 32.1
1997/05, 30.8
1997/06, 30.3
1997/07, 31.0
1997/08, 30.0
1997/09, 30.5
1997/10, 34.0
1997/11, 35.5
1997/12, 38.9
1998/01, 40.7
1998/02, 38.4
1998/03, 36.9
1998/04, 35.7
1998/05, 32.4
1998/06, 31.1
1998/07, 31.9
1998/08, 30.4
1998/09, 31.4
1998/10, 35.1
1998/11, 39.1
1998/12, 41.3
1999/01, 41.8
1999/02, 39.7
1999/03, 38.4
1999/04, 35.7
1999/05, 31.5
1999/06, 31.5
1999/07, 32.0
1999/08, 30.4
1999/09, 31.4
1999/10, 35.1
1999/11, 39.0
1999/12, 42.4
2000/01, 44.6
2000/02, 40.5
2000/03, 39.4
2000/04, 37.7
2000/05, 34.8
2000/06, 32.1
2000/07, 32.5
2000/08, 32.2
2000/09, 33.1
2000/10, 35.7
2000/11, 39.0
2000/12, 41.4
2001/01, 43.8
2001/02, 40.6
2001/03, 39.3
2001/04, 37.7
2001/05, 35.3
2001/06, 33.2
2001/07, 33.3
2001/08, 32.2
2001/09, 33.6
2001/10, 36.9
2001/11, 41.5
2001/12, 45.8
2002/01, 45.8
2002/02, 40.5
2002/03, 38.5
2002/04, 36.8
2002/05, 35.0
2002/06, 33.3
2002/07, 34.1
2002/08, 32.2
2002/09, 33.2
2002/10, 36.5
2002/11, 39.2
2002/12, 43.6
2003/01, 48.0
2003/02, 44.6
2003/03, 40.6
2003/04, 37.9
2003/05, 36.0
2003/06, 34.3
2003/07, 34.5
2003/08, 33.2
2003/09, 33.7
2003/10, 40.1
2003/11, 42.1
2003/12, 44.1
2004/01, 47.8
2004/02, 44.6
2004/03, 44.9
2004/04, 39.5
2004/05, 35.7
2004/06, 34.1
2004/07, 34.3
2004/08, 32.8
2004/09, 33.8
2004/10, 37.8
2004/11, 43.1
2004/12, 47.2
2005/01, 48.9
2005/02, 46.5
2005/03, 45.0
2005/04, 40.7
2005/05, 36.6
2005/06, 34.8
2005/07, 34.7
2005/08, 33.5
2005/09, 33.5
2005/10, 37.4
2005/11, 44.0
2005/12, 48.5
2006/01, 51.7
2006/02, 46.7
2006/03, 46.7
2006/04, 41.8
2006/05, 35.7
2006/06, 34.5
2006/07, 34.6
2006/08, 32.0
2006/09, 33.8
2006/10, 36.1
2006/11, 41.3
2006/12, 46.1
2007/01, 47.9
2007/02, 44.0
2007/03, 43.3
2007/04, 37.9
2007/05, 36.1
2007/06, 34.3
2007/07, 34.5
